card_name,card_price_EUR,sold_date,vendor_name,vendor_reviews,vendor_ratings,bids_numbers,bloc_ID,set_ID
camerupt de team magma 2 34,2.6,2023-12-29,damon_baird,253,100.0,0.0,6,22
obalie de team aqua 3 34,3.5,2023-12-25,itchigo,224,100.0,4.0,6,22
phogleur de team aqua 4 34,2.2,2023-12-27,lucie-annpique_0,4201,100.0,0.0,6,22
phogleur de team aqua 4 34,1.0,2023-11-16,evolifamily,584,100.0,0.0,6,22
kyogre ex de la team aqua 6 34,19.5,2024-01-27,tang_ara,3,100.0,2.0,6,22
kyogre ex de la team aqua 6 34,87.0,2023-11-26,flobo8190,26,100.0,6.0,6,22
kyogre ex de la team aqua 6 34,99.0,2023-11-24,pkvintage-app,79,100.0,0.0,6,22
balbuto de team magma 10 34,2.5,2023-12-25,itchigo,224,100.0,2.0,6,22
kaorine de team magma 11 34,2.9,2023-12-30,start-gaming,4102,99.9,0.0,6,22
galekid de team magma 12 34,4.5,2023-12-29,lucie-annpique_0,4201,100.0,0.0,6,22
galekid de team magma 12 34,4.85,2023-11-27,poke_matos,6729,100.0,0.0,6,22
groudon ex de la team magma 15 34,59.99,2024-02-05,retrogamezone,20824,99.9,0.0,6,22
groudon ex de la team magma 15 34,20.0,2024-02-02,dime4395,0,0.0,0.0,6,22
groudon ex de la team magma 15 34,15.0,2024-01-18,artri-60,2,100.0,0.0,6,22
groudon ex de la team magma 15 34,34.9,2024-01-16,retropak91,3164,99.6,0.0,6,22
groudon ex de la team magma 15 34,80.0,2024-01-11,dollsan,251,100.0,0.0,6,22
groudon ex de la team magma 15 34,7.51,2023-12-04,alepiv25,43,100.0,3.0,6,22
groudon ex de la team magma 15 34,11.5,2023-11-25,pierreba_91,41,100.0,4.0,6,22
medhyena de team aqua 16 34,3.0,2024-01-27,johacorni_0,717,100.0,0.0,6,22
medhyena de team magma 17 34,14.9,2023-12-29,vande.grego,2574,100.0,0.0,6,22
grahyena de team aqua 18 34,9.9,2023-11-17,marga_390756,66,100.0,0.0,6,22
mangriff de team magma 22 34,4.9,2024-01-13,editionlimitee1,13487,99.7,0.0,6,22
pointeur magma 24 34,2.0,2024-01-09,rosaline37,2479,98.5,0.0,6,22
sbire de la team aqua 26 34,1.0,2024-01-24,xkucass,59,100.0,0.0,6,22
base secrete de la team aqua 28 34,2.0,2024-01-21,rosaline37,2479,98.5,0.0,6,22
base secrete de la team aqua 28 34,2.5,2023-12-10,lucie-annpique_0,4201,100.0,0.0,6,22
admin team magma 29 34,4.0,2024-01-11,clicandsell,1116,99.6,0.0,6,22
admin team magma 29 34,5.0,2023-12-29,lucie-annpique_0,4201,100.0,0.0,6,22
admin team magma 29 34,4.39,2023-12-06,clicandsell,1116,99.6,0.0,6,22
sbire de la team magma 30 34,2.5,2024-02-08,lucie-annpique_0,4201,100.0,0.0,6,22
super ball de la team magma 31 34,2.5,2024-02-08,lucie-annpique_0,4201,100.0,0.0,6,22
base secrete de la team magma 32 34,4.9,2023-11-17,marga_390756,66,100.0,0.0,6,22
double energie aqua 33 34,4.0,2024-01-11,clicandsell,1116,99.6,0.0,6,22
double energie aqua 33 34,3.9,2024-01-14,parodi0,16383,99.9,0.0,6,22
double energie aqua 33 34,6.9,2023-12-29,parodi0,16383,99.9,0.0,6,22
double energie aqua 33 34,2.2,2023-12-10,lucie-annpique_0,4201,100.0,0.0,6,22
double energie magma 34 34,6.9,2023-12-29,parodi0,16382,99.9,0.0,6,22
double energie magma 34 34,2.0,2023-12-06,pascale1383,308,100.0,0.0,6,22
ho oh 1 25,1.0,2023-12-20,matfont-51,47,98.0,0.0,4,10
ho oh 1 25,0.8,2023-12-10,matfont-51,47,98.0,0.0,4,10
ho oh 1 25,1.0,2023-12-09,matfont-51,47,98.0,0.0,4,10
la recherche de rose 125 132,1.0,2023-11-19,lamiral83,1137,100.0,0.0,8,19
pikachu 5 25,3.0,2024-02-10,jullois45,329,100.0,0.0,4,10
pikachu 5 25,1.0,2024-02-02,clope.-35,45,100.0,0.0,4,10
pikachu 5 25,5.0,2024-01-11,thomas_xxvii,67,100.0,0.0,4,10
pikachu 5 25,1.5,2024-01-10,laurlagr,634,98.5,2.0,4,10
pikachu 5 25,1.0,2024-01-06,anthopokemon,131,98.8,0.0,4,10
pikachu 5 25,2.9,2023-12-31,start-gaming,4102,99.9,0.0,4,10
pikachu 5 25,10.0,2023-12-28,manuchu,66,100.0,2.0,4,10
pikachu 5 25,7.0,2023-12-17,manuchu,66,100.0,0.0,4,10
pikachu 5 25,1.0,2023-12-16,olivierjohnlocke,357,100.0,0.0,4,10
pikachu 5 25,2.5,2023-12-13,kevcollect-59,124,90.9,3.0,4,10
pikachu 5 25,2.0,2023-12-10,kusch62,1601,100.0,0.0,4,10
pikachu surfeur v 8 25,4.9,2024-02-01,thodio5252,146,100.0,0.0,4,10
pikachu volant v 6 25,5.5,2024-01-11,goldcollection-4495,1216,100.0,0.0,4,10
pikachu volant v 6 25,2.5,2024-01-10,laurlagr,634,98.5,4.0,4,10
pikachu volant vmax 7 25,11.9,2024-01-10,goldcollection-4495,1216,100.0,0.0,4,10
pikachu volant vmax 7 25,19.5,2023-12-14,bigboris313,2472,99.3,16.0,4,10
pikachu volant vmax 7 25,2.5,2023-11-28,pokemonium24,97,100.0,4.0,4,10
pikachu surfeur v 8 25,5.5,2024-01-10,laurlagr,634,98.5,5.0,4,10
pikachu surfeur vmax 9 25,9.9,2024-01-21,goldcollection-4495,1216,100.0,0.0,4,10
pikachu surfeur vmax 9 25,4.5,2024-01-10,laurlagr,634,98.5,6.0,4,10
mew 25 25,2.0,2024-01-28,lunashh,2,0.0,0.0,4,10
mew 25 25,3.5,2024-01-24,dreamcollect,657,100.0,0.0,4,10
mew 25 25,1.0,2024-01-06,alexd_6633,76,100.0,0.0,4,10
mew 25 25,6.0,2023-12-12,manuchu,66,100.0,0.0,4,10
mew 25 25,1.5,2023-11-17,matfont-51,47,98.0,0.0,4,10
cosmog 13 25,2.75,2024-01-24,dreamcollect,657,100.0,0.0,4,10
zacian v 16 25,1.0,2024-01-03,pokemonium24,97,100.0,0.0,4,10
zacian v 16 25,3.0,2023-12-31,kikumaru95,189,100.0,0.0,4,10
zacian v 16 25,2.0,2023-11-29,pokeyd,280,100.0,0.0,4,10
zacian v 16 25,1.5,2023-11-13,archirall,87,100.0,2.0,4,10
zamazenta v 18 25,1.0,2024-01-06,anthopokemon,131,98.8,0.0,4,10
yveltal 19 25,2.75,2024-01-15,dreamcollect,657,100.0,0.0,4,10
lugia 22 25,2.0,2024-02-01,tafsut2013,16,100.0,0.0,4,10
lugia 22 25,2.75,2024-01-15,dreamcollect,657,100.0,0.0,4,10
mew 25 25,98.0,2024-01-17,brocante-et-vous,4386,99.6,0.0,4,10
mew 25 25,82.0,2024-01-17,brocante-et-vous,4386,99.6,0.0,4,10
mew 25 25,85.0,2024-01-05,nemite29,4,100.0,0.0,4,10
mew 25 25,57.0,2023-11-20,krall-12,36,100.0,36.0,4,10
tortank 2 102,20.0,2024-02-08,secondthriftcasa,39,97.6,0.0,4,10
tortank 2 102,12.5,2024-02-07,laurlagr,634,98.5,9.0,4,10
tortank 2 102,16.9,2024-02-06,drojoss_0,277,96.6,0.0,4,10
tortank 2 102,30.5,2024-02-05,pokesell94,99,100.0,17.0,4,10
tortank 2 102,170.0,2024-02-05,maval3,3,100.0,0.0,4,10
tortank 2 102,30.0,2024-02-05,anomu21,4,100.0,0.0,4,10
tortank 2 102,139.99,2024-02-05,lescartesauxtresors,720,100.0,0.0,4,10
tortank 2 102,76.0,2024-02-04,planet.r,656,100.0,24.0,4,10
tortank 2 102,16.0,2024-02-04,douniselmou,86,100.0,3.0,4,10
tortank 2 102,300.0,2024-02-04,zanoche088,28,100.0,0.0,4,10
tortank 2 102,321.0,2024-02-01,ergo_6838,2,100.0,36.0,4,10
tortank 2 102,102.0,2024-01-31,melgerm88,0,0.0,13.0,4,10
tortank 2 102,129.0,2024-01-28,guillecl17,341,99.1,41.0,4,10
tortank 2 102,39.0,2024-01-28,premium-tcg-market,439,100.0,29.0,4,10
tortank 2 102,250.0,2024-01-28,nyvkktcg,44,100.0,0.0,4,10
tortank 2 102,73.0,2024-01-27,aktach_0,14,100.0,11.0,4,10
tortank 2 102,5.0,2024-01-27,laubra-4928,68,100.0,0.0,4,10
tortank 2 102,17.0,2024-01-26,joetraph,16,100.0,5.0,4,10
tortank 2 102,54.5,2024-01-25,pokestockx,18,100.0,19.0,4,10
tortank 2 102,459.0,2024-01-25,benitonin,212,100.0,0.0,4,10
tortank 2 102,14.0,2024-01-24,kreiger54,41,100.0,0.0,4,10
tortank 2 102,18.0,2024-01-21,brocante-et-vous,4386,99.6,0.0,4,10
tortank 2 102,17.9,2024-01-21,francois2005gris,657,100.0,0.0,4,10
tortank 2 102,149.9,2024-01-21,hydratcg,177,99.4,0.0,4,10
tortank 2 102,16.9,2024-01-20,drojoss_0,277,96.6,0.0,4,10
tortank 2 102,24.99,2024-01-20,bn.nt42,34,100.0,0.0,4,10
tortank 2 102,20.5,2024-01-19,cedrac21,34,100.0,11.0,4,10
tortank 2 102,17.9,2024-01-18,francois2005gris,657,100.0,0.0,4,10
tortank 2 102,107.0,2024-01-17,alex91_7,15,100.0,27.0,4,10
tortank 2 102,44.5,2024-01-17,quepe-57,60,100.0,7.0,4,10
tortank 2 102,16.0,2024-01-16,alice17lr,111,100.0,0.0,4,10
tortank 2 102,120.0,2024-01-15,regal-2110,87,100.0,0.0,4,10
tortank 2 102,321.01,2024-01-14,yourdreamthere,223,100.0,61.0,4,10
tortank 2 102,135.0,2024-01-14,tom-marvolo,414,100.0,0.0,4,10
tortank 2 102,105.0,2024-01-13,pokepolo,157,100.0,20.0,4,10
tortank 2 102,580.0,2024-01-13,magr-6935,1266,100.0,52.0,4,10
tortank 2 102,35.0,2024-01-13,artco6043,35,100.0,0.0,4,10
tortank 2 102,55.0,2024-01-12,jrmbusenier-0,30,100.0,0.0,4,10
tortank 2 102,175.0,2024-01-09,baptlaf-71,2,100.0,0.0,4,10
tortank 2 102,17.9,2024-01-09,francois2005gris,657,100.0,0.0,4,10
tortank 2 102,256.0,2024-01-08,romle-9498,31,100.0,26.0,4,10
tortank 2 102,14.0,2024-01-08,evmon_3449,14,100.0,7.0,4,10
tortank 2 102,61.01,2024-01-07,guilmatt_83,63,100.0,19.0,4,10
tortank 2 102,45.0,2024-01-07,lunieuse,201,100.0,0.0,4,10
tortank 2 102,39.0,2024-01-07,flouzman,178,100.0,0.0,4,10
tortank 2 102,44.9,2024-01-07,pokenico,189,100.0,0.0,4,10
tortank 2 102,15.9,2024-01-06,drojoss_0,277,96.6,0.0,4,10
tortank 2 102,169.99,2024-01-04,lescartesauxtresors,720,100.0,0.0,4,10
tortank 2 102,650.0,2024-01-04,natvandend0,23,100.0,0.0,4,10
tortank 2 102,280.0,2024-01-03,virdum-94,5,100.0,0.0,4,10
tortank 2 102,24.99,2024-01-03,francois2005gris,657,100.0,0.0,4,10
tortank 2 102,17.9,2024-01-03,francois2005gris,657,100.0,0.0,4,10
tortank 2 102,140.0,2024-01-03,aspicoshop,301,100.0,0.0,4,10
tortank 2 102,42.0,2024-01-03,brocante-et-vous,4386,99.6,0.0,4,10
tortank 2 102,482.0,2023-12-31,mrlauf-2875,25,94.4,21.0,4,10
tortank 2 102,281.0,2023-12-31,balas_b_56,14,76.9,32.0,4,10
tortank 2 102,38.25,2023-12-30,basgo_56,0,0.0,0.0,4,10
tortank 2 102,13.0,2023-12-30,dimax1,28,100.0,0.0,4,10
tortank 2 102,14.75,2023-12-29,theophile69,10,100.0,0.0,4,10
tortank 2 102,49.5,2023-12-28,occaz-collections,906,100.0,27.0,4,10
tortank 2 102,184.98,2023-12-27,redbers,890,100.0,0.0,4,10
tortank 2 102,14.0,2023-12-27,chritop-_0,45,100.0,0.0,4,10
tortank 2 102,239.9,2023-12-27,giolazzotcg,3603,100.0,0.0,4,10
tortank 2 102,805.0,2023-12-25,magr-6935,1266,100.0,44.0,4,10
tortank 2 102,463.0,2023-12-24,mrlauf-2875,25,94.4,13.0,4,10
tortank 2 102,24.99,2023-12-23,retrogamezone,20824,99.9,0.0,4,10
tortank 2 102,68.0,2023-12-22,pokemon-japanese,507,100.0,0.0,4,10
tortank 2 102,15.0,2023-12-21,nabidoua_0,473,100.0,0.0,4,10
tortank 2 102,3.0,2023-12-20,rondoudoupawa,5,100.0,0.0,4,10
tortank 2 102,370.0,2023-12-20,julie49000,98,98.8,0.0,4,10
tortank 2 102,200.0,2023-12-20,patriciherman_5,422,100.0,0.0,4,10
tortank 2 102,229.99,2023-12-18,lescartesauxtresors,720,100.0,0.0,4,10
tortank 2 102,149.9,2023-12-18,big_blue_bulbasaur,253,100.0,0.0,4,10
tortank 2 102,86.0,2023-12-17,planet.r,656,100.0,17.0,4,10
tortank 2 102,795.0,2023-12-17,he.og.59,9,100.0,0.0,4,10
tortank 2 102,77.0,2023-12-17,tonitendo,227,99.0,35.0,4,10
tortank 2 102,40.5,2023-12-17,premium-tcg-market,439,100.0,11.0,4,10
tortank 2 102,75.0,2023-12-16,pokepolo,157,100.0,3.0,4,10
tortank 2 102,61.01,2023-12-16,guilmatt_83,63,100.0,6.0,4,10
tortank 2 102,94.0,2023-12-16,lou_hen,9,100.0,27.0,4,10
tortank 2 102,120.0,2023-12-16,inspecte-7655,11,100.0,0.0,4,10
tortank 2 102,56.0,2023-12-16,nicopati69,47,100.0,13.0,4,10
tortank 2 102,159.0,2023-12-16,pokemew-vente,56,100.0,0.0,4,10
tortank 2 102,61.0,2023-12-15,occaz-collections,906,100.0,24.0,4,10
tortank 2 102,45.0,2023-12-14,namss92i,3,100.0,0.0,4,10
tortank 2 102,54.99,2023-12-13,pokefoxx,262,100.0,0.0,4,10
tortank 2 102,100.0,2023-12-13,pokemon_market13,4,100.0,0.0,4,10
tortank 2 102,18.0,2023-12-13,curiosite_tcg,108,100.0,0.0,4,10
tortank 2 102,149.9,2023-12-11,lou_hen,9,100.0,0.0,4,10
tortank 2 102,13.0,2023-12-10,gyoukou04,121,100.0,3.0,4,10
tortank 2 102,12.75,2023-12-09,douniselmou,86,100.0,5.0,4,10
tortank 2 102,17.9,2023-12-08,redshirt6969,97,100.0,0.0,4,10
tortank 2 102,220.0,2023-12-08,stepmic4166,5,100.0,0.0,4,10
tortank 2 102,70.0,2023-12-07,lucajean34,41,100.0,0.0,4,10
tortank 2 102,58.0,2023-12-07,shifty3347,42,100.0,20.0,4,10
tortank 2 102,19.0,2023-12-05,valvalecass,221,100.0,0.0,4,10
tortank 2 102,15.0,2023-12-04,ethan783,20,100.0,0.0,4,10
tortank 2 102,19.0,2023-12-04,molsron,2542,99.0,0.0,4,10
tortank 2 102,44.1,2023-12-03,premium-tcg-market,439,100.0,27.0,4,10
tortank 2 102,25.0,2023-12-03,fallskym09,12,92.3,0.0,4,10
tortank 2 102,70.0,2023-12-03,lucajean34,41,100.0,0.0,4,10
tortank 2 102,15.0,2023-12-02,gyoukou04,121,100.0,4.0,4,10
tortank 2 102,86.0,2023-12-02,bafalou,36,100.0,18.0,4,10
tortank 2 102,74.9,2023-12-02,big_blue_bulbasaur,253,100.0,0.0,4,10
tortank 2 102,575.0,2023-11-30,mrlauf-2875,25,94.4,0.0,4,10
tortank 2 102,15.3,2023-11-29,soussandelajungle,37,100.0,0.0,4,10
tortank 2 102,89.0,2023-11-29,cro_name,36,100.0,0.0,4,10
tortank 2 102,15.0,2023-11-26,gabrfr_2p7brija,433,100.0,0.0,4,10
florizarre 15 102,100.0,2023-11-25,sandlec31,76,100.0,0.0,4,10
dracaufeu 4 102,299.99,2024-02-10,aktach_0,14,100.0,0.0,4,10
dracaufeu 4 102,100.0,2024-02-10,demoshoptcg,1,100.0,0.0,4,10
dracaufeu 4 102,348.99,2024-02-09,kascle-52,246,100.0,41.0,4,10
dracaufeu 4 102,249.9,2024-02-07,aspicoshop,301,100.0,0.0,4,10
dracaufeu 4 102,650.0,2024-02-06,dntlllns,2,100.0,0.0,4,10
dracaufeu 4 102,189.0,2024-02-05,jerry32800,62,100.0,18.0,4,10
dracaufeu 4 102,349.95,2024-02-05,wscmn.snkrs,34,100.0,0.0,4,10
dracaufeu 4 102,81.0,2024-02-05,sais.me-68,0,0.0,18.0,4,10
dracaufeu 4 102,254.9,2024-02-05,aladdindu45,124,100.0,0.0,4,10
dracaufeu 4 102,302.0,2024-02-05,erlaff-52,98,100.0,15.0,4,10
dracaufeu 4 102,251.0,2024-02-04,poke-kaiba,778,100.0,42.0,4,10
dracaufeu 4 102,432.0,2024-02-04,ergo_6838,2,100.0,41.0,4,10
dracaufeu 4 102,96.0,2024-02-04,mattlam_58,0,0.0,3.0,4,10
dracaufeu 4 102,1.0,2024-02-04,julie49000,98,98.8,0.0,4,10
dracaufeu 4 102,199.99,2024-02-04,retrogamezone,20824,99.9,0.0,4,10
dracaufeu 4 102,649.9,2024-02-03,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,120.0,2024-02-02,flo_1938,11,100.0,0.0,4,10
dracaufeu 4 102,340.0,2024-01-29,baill_51,22,100.0,0.0,4,10
dracaufeu 4 102,431.0,2024-01-28,pierrbu-0,48,100.0,48.0,4,10
dracaufeu 4 102,433.0,2024-01-28,dawierc-78,309,100.0,23.0,4,10
dracaufeu 4 102,165.0,2024-01-28,nicopati69,47,100.0,20.0,4,10
dracaufeu 4 102,150.0,2024-01-28,loi.brimb,44,100.0,0.0,4,10
dracaufeu 4 102,700.0,2024-01-27,dimflo_81,131,98.1,0.0,4,10
dracaufeu 4 102,270.0,2024-01-26,valdup1682,41,100.0,14.0,4,10
dracaufeu 4 102,172.0,2024-01-26,aktach_0,14,100.0,10.0,4,10
dracaufeu 4 102,40.5,2024-01-26,juliedula-0,0,0.0,2.0,4,10
dracaufeu 4 102,200.0,2024-01-26,psyt-80,0,0.0,0.0,4,10
dracaufeu 4 102,118.0,2024-01-24,jo_695417,1,100.0,8.0,4,10
dracaufeu 4 102,310.0,2024-01-24,*alex69alex*,148,100.0,0.0,4,10
dracaufeu 4 102,351.0,2024-01-22,tejjirct,42,100.0,70.0,4,10
dracaufeu 4 102,162.0,2024-01-21,nicolas44560,149,100.0,24.0,4,10
dracaufeu 4 102,320.0,2024-01-21,servie_6,15,100.0,0.0,4,10
dracaufeu 4 102,178.1,2024-01-20,dist-to,73,100.0,25.0,4,10
dracaufeu 4 102,153.0,2024-01-17,alexpoke59,55,95.7,28.0,4,10
dracaufeu 4 102,350.0,2024-01-14,pokereck,5,100.0,0.0,4,10
dracaufeu 4 102,442.0,2024-01-14,dawierc-78,309,100.0,30.0,4,10
dracaufeu 4 102,487.0,2024-01-14,alex91_7,15,100.0,63.0,4,10
dracaufeu 4 102,251.0,2024-01-12,psyt-80,0,0.0,3.0,4,10
dracaufeu 4 102,250.0,2024-01-11,cana-4805,28,100.0,0.0,4,10
dracaufeu 4 102,411.0,2024-01-11,kawaaaa67,111,100.0,78.0,4,10
dracaufeu 4 102,139.9,2024-01-10,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,150.0,2024-01-10,carlosadomingues0,2,0.0,0.0,4,10
dracaufeu 4 102,311.0,2024-01-10,clairemai,113,100.0,42.0,4,10
dracaufeu 4 102,100.0,2024-01-10,lolo14-7,3,100.0,0.0,4,10
dracaufeu 4 102,400.0,2024-01-09,vintagecardswonders,165,100.0,0.0,4,10
dracaufeu 4 102,228.0,2024-01-09,vinsel_52,141,100.0,37.0,4,10
dracaufeu 4 102,233.0,2024-01-07,vinsel_52,141,100.0,24.0,4,10
dracaufeu 4 102,50.0,2024-01-06,zadkiel,26,100.0,0.0,4,10
dracaufeu 4 102,111.0,2024-01-05,lebes_4444,0,0.0,3.0,4,10
dracaufeu 4 102,699.9,2024-01-05,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,569.9,2024-01-03,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,227.0,2024-01-02,theoldrepublic-1,304,100.0,40.0,4,10
dracaufeu 4 102,264.0,2024-01-02,liali.al.qjjdtk,2,0.0,46.0,4,10
dracaufeu 4 102,99.9,2024-01-02,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,825.0,2023-12-31,brian77771,0,0.0,7.0,4,10
dracaufeu 4 102,391.0,2023-12-29,vinsel_52,141,100.0,29.0,4,10
dracaufeu 4 102,345.9,2023-12-29,colas0,3487,100.0,0.0,4,10
dracaufeu 4 102,252.0,2023-12-29,vinsel_52,141,100.0,25.0,4,10
dracaufeu 4 102,530.0,2023-12-28,bejcq_0,11,100.0,112.0,4,10
dracaufeu 4 102,65.0,2023-12-27,anram5455,3,100.0,0.0,4,10
dracaufeu 4 102,200.0,2023-12-26,renrevo-75,0,0.0,0.0,4,10
dracaufeu 4 102,250.0,2023-12-26,kilog_52,64,90.9,0.0,4,10
dracaufeu 4 102,141.0,2023-12-25,guilgarr-0,18,50.0,2.0,4,10
dracaufeu 4 102,130.0,2023-12-24,retroseller68,15,100.0,0.0,4,10
dracaufeu 4 102,80.0,2023-12-24,rapdes0,93,98.6,0.0,4,10
dracaufeu 4 102,264.0,2023-12-23,clicandsell,1116,99.6,0.0,4,10
dracaufeu 4 102,649.9,2023-12-23,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,109.9,2023-12-20,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,173.0,2023-12-20,jaldah-0,4,100.0,10.0,4,10
dracaufeu 4 102,599.9,2023-12-19,poke-kaiba,778,100.0,0.0,4,10
dracaufeu 4 102,149.9,2023-12-18,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,350.0,2023-12-17,planet.r,656,100.0,71.0,4,10
dracaufeu 4 102,329.9,2023-12-16,biloutazelle,302,100.0,0.0,4,10
dracaufeu 4 102,79.9,2023-12-16,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,280.0,2023-12-15,vinsel_52,141,100.0,57.0,4,10
dracaufeu 4 102,479.9,2023-12-15,prof7467,1390,100.0,0.0,4,10
dracaufeu 4 102,200.0,2023-12-14,minidracau20,6,100.0,0.0,4,10
dracaufeu 4 102,600.0,2023-12-13,poke-kaiba,778,100.0,0.0,4,10
dracaufeu 4 102,800.0,2023-12-13,antcat-74,101,100.0,0.0,4,10
dracaufeu 4 102,251.0,2023-12-12,sachtaie0,85,100.0,13.0,4,10
dracaufeu 4 102,201.17,2023-12-12,pokemon_market13,4,100.0,0.0,4,10
dracaufeu 4 102,152.0,2023-12-12,leog_3232,6,100.0,28.0,4,10
salameche 46 102,257.0,2023-12-11,basmouli0,4,100.0,12.0,3,93
dracaufeu 4 102,605.0,2023-12-10,poke-kaiba,778,100.0,25.0,4,10
dracaufeu 4 102,176.0,2023-12-09,gyoukou04,121,100.0,20.0,4,10
dracaufeu 4 102,260.0,2023-12-05,cdsannemasse,64,100.0,0.0,4,10
dracaufeu 4 102,470.0,2023-12-04,possa_micka,125,100.0,0.0,4,10
dracaufeu 4 102,505.0,2023-12-03,poke-kaiba,778,100.0,55.0,4,10
dracaufeu 4 102,201.0,2023-12-03,dist-to,73,100.0,47.0,4,10
dracaufeu 4 102,351.0,2023-12-02,doomdoom94,180,100.0,25.0,4,10
dracaufeu 4 102,399.99,2023-12-02,cocorico9,80,95.0,0.0,4,10
dracaufeu 4 102,131.0,2023-11-30,jrhou-0,137,100.0,50.0,4,10
dracaufeu 4 102,299.9,2023-11-30,pokevivi7,17486,100.0,0.0,4,10
